Unnamed: 0,Frequency (GHz),Re( S21 ),Im( S21 ),S2
60,0.013597158,0.058654882,-0.00119243935,0.0034418170940373
61,0.013823777,0.0554885864,-0.0277711935,0.0038502224090847
62,0.014050396,0.0392656364,-0.0515821539,0.0042025088028602
63,0.014277015,0.0124613438,-0.0654400587,0.0044376863719612
64,0.014503635,-0.0181417223,-0.0648169816,0.004530363191745
65,0.014730254,-0.0445502549,-0.0502067767,0.0045054456382586
66,0.014956873,-0.0611270629,-0.0261567701,0.0044206944408448
67,0.015183493,-0.0658400804,0.00153900869,0.0043372847348263
68,0.015410112,-0.059361618,0.0279105231,0.0043027989912935
69,0.015636731,-0.0436902717,0.0494005159,0.0043492508124059
70,0.015863351,-0.0212898105,0.0636005029,0.0044982800002588
71,0.01608997,0.00516664842,0.0688570663,0.0047679898353384
72,0.016316589,0.0327885896,0.0640579686,0.0051785149491158
73,0.016543208,0.058140412,0.0485309176,0.0057355574706277
74,0.016769828,0.0769579709,0.0227167327,0.0064385792296084
75,0.016996446,0.0845479742,-0.0110120652,0.0072696255212929
76,0.017223066,0.0768666267,-0.0476687588,0.0081807888657697
77,0.017449686,0.0523713268,-0.0797243789,0.0090987324617831
78,0.017676304,0.0138583397,-0.0987438634,0.0099424041383984
79,0.017902924,-0.0311957821,-0.0984068066,0.0106570764060404
80,0.018129544,-0.0726917312,-0.0772270113,0.0112480990591833
81,0.018356162,-0.101322807,-0.0390750617,0.011793171665218
82,0.018582782,-0.111158974,0.00861364417,0.01243051236662
83,0.018809402,-0.100263953,0.0573406145,0.0133408063424238
84,0.01903602,-0.0699075907,0.0992632881,0.0147402716019023
85,0.01926264,-0.0235193856,0.127816573,0.0168902378324658
86,0.01948926,0.0339367911,0.137723163,0.0201193754168896
87,0.019715878,0.0961126983,0.124952413,0.0248507562890293
88,0.019942498,0.15504387,0.0869285017,0.0315951660323838
89,0.020169118,0.200925246,0.0235542934,0.0409257592177338
90,0.020395736,0.22288394,-0.0612677708,0.0534309904487249
91,0.020622356,0.210930601,-0.158459306,0.0696010700962228
92,0.020848974,0.158945218,-0.253833324,0.0896949386979565
93,0.021075594,0.0676517263,-0.330285162,0.1136650443087363
94,0.021302214,-0.054166045,-0.371856511,0.1412112252040351
95,0.021528832,-0.191309735,-0.367926657,0.1719694396369658
96,0.021755452,-0.325960577,-0.315419614,0.2057398306540819
97,0.021982072,-0.441545367,-0.218299523,0.2426169928611922
98,0.02220869,-0.525165081,-0.085897781,0.2831767910824606
99,0.02243531,-0.569385469,0.071601972,0.3293266547026387
100,0.02266193,-0.567715824,0.243136659,0.3814166917696812
101,0.022888548,-0.516706467,0.416494012,0.4404528350714782
102,0.023115168,-0.41514051,0.578708768,0.507245481203138
103,0.023341788,-0.264515013,0.715594471,0.5820436390281599
104,0.023568406,-0.0702732578,0.811875343,0.6640799033331929
105,0.023795026,0.156647563,0.852441192,0.7511944448122199
106,0.024021646,0.398844481,0.824995458,0.8396944257447891
107,0.024248264,0.633203089,0.723678052,0.9246560748656568
108,0.024474884,0.834137619,0.55228287,1.0008019359264262
109,0.024701502,0.97879523,0.325171888,1.0637768590162375
110,0.024928122,1.05220175,0.0647875741,1.1113259524608254
111,0.025154742,1.04998052,-0.203404784,1.1438325985335571
112,0.02538136,0.977570295,-0.456194311,1.163756931055152
113,0.02560798,0.84689635,-0.67599684,1.1742051553333082
114,0.0258346,0.672463298,-0.851457119,1.177186112652817
115,0.026061218,0.467885405,-0.976721525,1.1729016896103397
116,0.026287838,0.245667145,-1.05094254,1.164832568514103
117,0.026514458,0.0178313516,-1.07501197,1.1559686927431638
118,0.026741076,-0.20513989,-1.0506891,1.146029959328022
119,0.026967696,-0.413700134,-0.981112778,1.1337300840264952
120,0.027194316,-0.59887898,-0.871142685,1.1175456103148496
